Dataset	PlexID
PTRC_exp10_Plex_02_A_f01_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_02
PTRC_exp10_Plex_03_A_f01_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_03
PTRC_exp10_Plex_01_A_f01_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_01
PTRC_exp10_Plex_04_A_f01_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_04
PTRC_exp10_Plex_05_A_f01_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_05
PTRC_exp10_Plex_03_A_f02_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_03
PTRC_exp10_Plex_02_A_f02_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_02
PTRC_exp10_Plex_05_A_f02_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_05
PTRC_exp10_Plex_01_A_f02_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_01
PTRC_exp10_Plex_04_A_f02_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_04
PTRC_exp10_Plex_03_A_f03_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_03
PTRC_exp10_Plex_05_A_f03_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_05
PTRC_exp10_Plex_04_A_f03_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_04
PTRC_exp10_Plex_02_A_f03_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_02
PTRC_exp10_Plex_01_A_f03_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_01
PTRC_exp10_Plex_03_A_f04_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_03
PTRC_exp10_Plex_01_A_f04_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_01
PTRC_exp10_Plex_04_A_f04_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_04
PTRC_exp10_Plex_02_A_f04_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_02
PTRC_exp10_Plex_05_A_f04_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_05
PTRC_exp10_Plex_04_A_f05_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_04
PTRC_exp10_Plex_01_A_f05_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_01
PTRC_exp10_Plex_05_A_f05_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_05
PTRC_exp10_Plex_03_A_f05_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_03
PTRC_exp10_Plex_02_A_f05_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_02
PTRC_exp10_Plex_04_A_f06_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_04
PTRC_exp10_Plex_01_A_f06_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_01
PTRC_exp10_Plex_02_A_f06_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_02
PTRC_exp10_Plex_05_A_f06_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_05
PTRC_exp10_Plex_03_A_f06_FAIMS_Merry_DI_01Dec23_REP-23-11-05	Plex_03
PTRC_exp10_Plex_08_A_f01_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_08
PTRC_exp10_Plex_07_A_f01_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_07
PTRC_exp10_Plex_09_A_f01_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_09
PTRC_exp10_Plex_06_A_f01_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_06
PTRC_exp10_Plex_10_A_f01_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_10
PTRC_exp10_Plex_09_A_f02_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_09
PTRC_exp10_Plex_10_A_f02_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_10
PTRC_exp10_Plex_06_A_f02_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_06
PTRC_exp10_Plex_08_A_f02_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_08
PTRC_exp10_Plex_07_A_f02_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_07
PTRC_exp10_Plex_06_A_f03_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_06
PTRC_exp10_Plex_08_A_f03_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_08
PTRC_exp10_Plex_09_A_f03_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_09
PTRC_exp10_Plex_10_A_f03_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_10
PTRC_exp10_Plex_07_A_f03_FAIMS_Merry_DI_10Dec23_REP-23-11-06	Plex_07
PTRC_exp10_Plex_10_A_f04_FAIMS_Merry_DI_14Dec23_REP-23-11-07	Plex_10
PTRC_exp10_Plex_07_A_f04_FAIMS_Merry_DI_14Dec23_REP-23-11-07	Plex_07
PTRC_exp10_Plex_09_A_f04_FAIMS_Merry_DI_14Dec23_REP-23-11-07	Plex_09
