PlexID	QuantBlock	ReporterName	ReporterAlias	MeasurementName
Plex_17	1	129C	108	108
Plex_17	1	130N	50	50
Plex_17	1	130C	90	90
Plex_17	1	131N	122	122
Plex_17	1	131C	Ref	NA
Plex_18	1	126	36	36
Plex_18	1	127N	198	198
Plex_18	1	127C	17	17
Plex_18	1	128N	186	186
Plex_18	1	128C	220	220
Plex_18	1	129N	11	11
Plex_18	1	129C	24	24
Plex_18	1	130N	164	164
Plex_18	1	130C	09	09
Plex_18	1	131N	119	119
Plex_18	1	131C	Ref	NA
Plex_19	1	126	37	37
Plex_19	1	127N	169	169
Plex_19	1	127C	118	118
Plex_19	1	128N	110	110
Plex_19	1	128C	147	147
Plex_19	1	129N	41	41
Plex_19	1	129C	174	174
Plex_19	1	130N	201	201
Plex_19	1	130C	171	171
Plex_19	1	131N	59	59
Plex_19	1	131C	Ref	NA
Plex_20	1	126	115	115
Plex_20	1	127N	129	129
Plex_20	1	127C	200	200
Plex_20	1	128N	95	95
Plex_20	1	128C	22	22
Plex_20	1	129N	69	69
Plex_20	1	129C	26	26
Plex_20	1	130N	54	54
Plex_20	1	130C	42	42
Plex_20	1	131N	203	203
Plex_20	1	131C	Ref	NA
Plex_21	1	126	178	178
Plex_21	1	127N	33	33
Plex_21	1	127C	88	88
Plex_21	1	128N	53	53
Plex_21	1	128C	145	145
Plex_21	1	129N	205	205
Plex_21	1	129C	46	46
Plex_21	1	130N	170	170
Plex_21	1	130C	63	63
Plex_21	1	131N	78	78
Plex_21	1	131C	Ref	NA
